enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Austbø skole,Nasjonale prøver ungdomstrinn,Engelsk,2014-2015,Trinn 8,Gutter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Engelsk,2015-2016,Trinn 8,Gutter,49
Austbø skole,Nasjonale prøver ungdomstrinn,Engelsk,2016-2017,Trinn 8,Gutter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Engelsk,2017-2018,Trinn 8,Gutter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Engelsk,2018-2019,Trinn 8,Gutter,51
Austbø skole,Nasjonale prøver ungdomstrinn,Engelsk,2019-2020,Trinn 8,Gutter,51
Austbø skole,Nasjonale prøver ungdomstrinn,Engelsk,2020-2021,Trinn 8,Gutter,51
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 8,Gutter,48
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 8,Gutter,46
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 8,Gutter,48
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 8,Gutter,48
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 8,Gutter,48
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 8,Gutter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 8,Gutter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 8,Gutter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 8,Gutter,48
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 8,Gutter,49
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 8,Gutter,49
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 8,Gutter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 8,Gutter,51
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 8,Gutter,52
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Engelsk,2014-2015,Trinn 8,Gutter,49
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Engelsk,2015-2016,Trinn 8,Gutter,47
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Engelsk,2016-2017,Trinn 8,Gutter,42
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Engelsk,2017-2018,Trinn 8,Gutter,44
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Engelsk,2018-2019,Trinn 8,Gutter,46
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Engelsk,2019-2020,Trinn 8,Gutter,48
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 8,Gutter,48
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 8,Gutter,46
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 8,Gutter,44
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 8,Gutter,44
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 8,Gutter,49
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 8,Gutter,51
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 8,Gutter,47
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 8,Gutter,49
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 8,Gutter,54
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 8,Gutter,45
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 8,Gutter,47
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 8,Gutter,49
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 8,Gutter,53
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 8,Gutter,55
Gautesete skole,Nasjonale prøver ungdomstrinn,Engelsk,2014-2015,Trinn 8,Gutter,53
Gautesete skole,Nasjonale prøver ungdomstrinn,Engelsk,2015-2016,Trinn 8,Gutter,54
Gautesete skole,Nasjonale prøver ungdomstrinn,Engelsk,2016-2017,Trinn 8,Gutter,52
Gautesete skole,Nasjonale prøver ungdomstrinn,Engelsk,2017-2018,Trinn 8,Gutter,55
Gautesete skole,Nasjonale prøver ungdomstrinn,Engelsk,2018-2019,Trinn 8,Gutter,53
Gautesete skole,Nasjonale prøver ungdomstrinn,Engelsk,2019-2020,Trinn 8,Gutter,54
Gautesete skole,Nasjonale prøver ungdomstrinn,Engelsk,2020-2021,Trinn 8,Gutter,54
Gautesete skole,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 8,Gutter,51
Gautesete skole,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 8,Gutter,51
Gautesete skole,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 8,Gutter,51
Gautesete skole,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 8,Gutter,53
Gautesete skole,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 8,Gutter,49
Gautesete skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 8,Gutter,49
Gautesete skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 8,Gutter,50
Gautesete skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 8,Gutter,54
Gautesete skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 8,Gutter,51
Gautesete skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 8,Gutter,52
Gautesete skole,Nasjonale prøver ungdomstrinn,Regning,2017-2018,Trinn 8,Gutter,54
Gautesete skole,Nasjonale prøver ungdomstrinn,Regning,2018-2019,Trinn 8,Gutter,50
Gautesete skole,Nasjonale prøver ungdomstrinn,Regning,2019-2020,Trinn 8,Gutter,52
Gautesete skole,Nasjonale prøver ungdomstrinn,Regning,2020-2021,Trinn 8,Gutter,52
Gosen skole,Nasjonale prøver ungdomstrinn,Engelsk,2014-2015,Trinn 8,Gutter,54
Gosen skole,Nasjonale prøver ungdomstrinn,Engelsk,2015-2016,Trinn 8,Gutter,53
Gosen skole,Nasjonale prøver ungdomstrinn,Engelsk,2016-2017,Trinn 8,Gutter,52
Gosen skole,Nasjonale prøver ungdomstrinn,Engelsk,2017-2018,Trinn 8,Gutter,55
